Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
B2,1,2147483647,-2147483648,2147483647
A2,2,-1,-2147483648,2147483647
B2,1,-1,-2147483648,-1
A3,2,-1,-2147483648,-1
B2,1,-1,-2147483648,-1
A4,2,2147483647,-2147483648,-1
A2,2,-2,-2147483648,-1
A4,2,-2,-2147483648,-2
A3,2,-2,-2147483648,-2
A4,2,-2,-2147483648,-2
A5,2,-1,-2147483648,-2
A4,2,-2,-2147483648,-2
A6,2,-1,-2147483648,-2
A4,2,-2,-2147483648,-2
B2,1,-2,-2147483648,-2
A5,2,0,-2147483648,-2
B2,1,-2,-2147483648,-2
A6,2,0,-2147483648,-2
B2,1,-2,-2147483648,-2
root,0,-2,-2,2147483647
B3,1,2147483647,-2,2147483647
A2,2,-1,-2,2147483647
B3,1,-1,-2,-1
A3,2,-1,-2,-1
B3,1,-1,-2,-1
A4,2,2147483647,-2,-1
A2,2,-2,-2,-1
A4,2,-2,-2,-2
B3,1,-2,-2,-2
root,0,-2,-2,2147483647
B4,1,-2147483648,-2,2147483647
B2,1,2147483647,-2,2147483647
A2,2,0,-2,2147483647
B2,1,0,-2,0
A3,2,0,-2,0
B2,1,0,-2,0
A4,2,2147483647,-2,0
A2,2,-1,-2,0
A4,2,-1,-2,-1
A3,2,-1,-2,-1
A4,2,-1,-2,-1
A5,2,0,-2,-1
A4,2,-1,-2,-1
A6,2,0,-2,-1
A4,2,-1,-2,-1
B2,1,-1,-2,-1
A5,2,1,-2,-1
B2,1,-1,-2,-1
A6,2,1,-2,-1
B2,1,-1,-2,-1
B4,1,-1,-1,2147483647
B3,1,2147483647,-1,2147483647
A2,2,0,-1,2147483647
B3,1,0,-1,0
A3,2,0,-1,0
B3,1,0,-1,0
A4,2,2147483647,-1,0
A2,2,-1,-1,0
A4,2,-1,-1,-1
B3,1,-1,-1,-1
B4,1,-1,-1,2147483647
B5,1,2147483647,-1,2147483647
A2,2,1,-1,2147483647
B5,1,1,-1,1
A3,2,1,-1,1
B5,1,1,-1,1
A4,2,2147483647,-1,1
A2,2,0,-1,1
A4,2,0,-1,0
A3,2,0,-1,0
A4,2,0,-1,0
A5,2,2147483647,-1,0
A2,2,-1,-1,0
A5,2,-1,-1,-1
A4,2,-1,-1,-1
B5,1,-1,-1,-1
B4,1,-1,-1,2147483647
B6,1,2147483647,-1,2147483647
A2,2,1,-1,2147483647
B6,1,1,-1,1
A3,2,1,-1,1
B6,1,1,-1,1
A4,2,1,-1,1
B6,1,1,-1,1
A5,2,2147483647,-1,1
A2,2,0,-1,1
A5,2,0,-1,0
A3,2,0,-1,0
A5,2,0,-1,0
A4,2,0,-1,0
A5,2,0,-1,0
A6,2,1,-1,0
A5,2,0,-1,0
B6,1,0,-1,0
A6,2,2,-1,0
B6,1,0,-1,0
B4,1,0,0,2147483647
root,0,0,0,2147483647
B5,1,2147483647,0,2147483647
A2,2,0,0,2147483647
B5,1,0,0,0
root,0,0,0,2147483647
B6,1,2147483647,0,2147483647
A2,2,0,0,2147483647
B6,1,0,0,0
root,0,0,0,2147483647
